Zone,District,Upazilla,Union,THACODE,Mouza,Village,Weight
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Kasiadanga,Kasiadanga,0.006136501
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katamari,Katamari,0.005749883
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katamari,Gopalkhali,0.006018947
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katamari,Deoatala,0.004956637
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Kaemkhola,Kaemkhola,0.005332167
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Kayemkholar Hula,Kayemkholar Hula,0.005382074
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Katianangla,0.005010491
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Amtala,0.005119339
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Kodaldhoa,0.014799564
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Gondhamari,0.00691952
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Kanthaltala,0.008505599
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Goalbari,0.007211488
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Katianangla,Gangaram,0.006580638
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Khajurtala,Khajurtala,0.005255958
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Par Salua,Par Salua,0.005341282
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Par Titukhali,Par Titukhali,0.00573248
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Salua,Salua,0.005057652
West,Khulna,Batiaghata,  Gangarampur Union Total,404712,*Titukhali,Titukhali,0.00589699
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Alutala,Alutala,0.005451205
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Banshbaria,Banshbaria,0.008577085
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chak Alipur,Chak Alipur,0.007459549
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chhaygharia,Chhaygharia,0.00516037
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chhaygharia,Guptamari,0.006993738
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chhaygharia,Dauniafad,0.005590531
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chhaygharia,Chakrakhali,0.00526688
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Chhaygharia,Badnakhali,0.006441275
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Denarabad,Denarabad,0.005008637
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Dubi,Dubi,0.005714839
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Harintana,Harintana,0.005298229
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Jalma,Uttar Jalma,0.004983713
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Jalma,Kachubunia,0.005325783
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Jharbhanga,Jharbhanga,0.005653019
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Kholabaria,Kholabaria,0.005220047
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Krishnanagar,Krishnanagar,0.005299385
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Krishnanagar,Mahammad Nagar,0.005232467
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Krishnanagar,Saubjpalli,0.005767631
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Mathabhanga,Mathabhanga,0.004993561
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Mathabhanga,Putimari,0.004781515
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Uttar Raingamari,0.006415586
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Dakshin Raingamari,0.010034172
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Gajalmari,0.006591319
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Joypur,0.007400865
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Nabojalma,0.007819772
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Raingamari,Santinagar,0.005586275
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Rajbandh,Rajbandh,0.004955199
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Rajbandh,Joykhali,0.005458618
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Rajbandh,Ghola,0.005223681
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Rajbandh,Koiarbazar,0.005628321
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Sanchibunia,Sanchibunia,0.005214705
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Sanchibunia,Nijkhamar,0.006049711
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Sanchibunia,Chara,0.007053854
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Sanchibunia,Hogladanga,0.005915652
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Sanchibunia,Dargatala,0.007360561
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Solemari,Solemari,0.00471773
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Tentultala,Tentultala,0.004752558
West,Khulna,Batiaghata,  Jalma Union Total,404712,*Thikrabanda,Thikrabanda,0.005048685
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Banda Bastibuna,Banda Bastibuna,0.009968959
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Bara Aria,Bara Aria,0.005124302
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Bara Bhuiya,Bara Bhuiya,0.004858819
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Buna,Bunarabad,0.004755959
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Buna,Sankimari,0.007269728
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Buna,Nailkhali,0.006150479
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gaonghara,Gaonghara,0.005082933
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gaonghara,Char Danga,0.006306992
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gaonghara,Chandardanga,0.005142613
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gaonghara,Gaonghara Uttar Para,0.004993878
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gariardanga,Gariardanga,0.005225871
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gariardanga,Hoglarbuna,0.005398922
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Gazalia,Gazalia,0.005013596
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Kalyansree,Kalyansree,0.004962852
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Kalyansree,Chhatra Bil,0.005322764
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Kalyansree,Udarbanga,0.006123076
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Katakhali,Katakhali,0.007152783
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Kharial,Kharial,0.005409587
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Kodla,Kodla,0.005573304
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Mathbari,Mathbari,0.007691791
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Parisamari,Parisamari,0.00523154
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Roypur,Roypur,0.004914102
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Roypur,Bhagabatipur,0.00503913
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Ruhitmara,Ruhitmara,0.005585842
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Sambhunagar,Sambhunagar,0.005434464
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Sanpa,Sanpa,0.005805085
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Sukhdara,Sukhdara,0.004724253
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Sundar Mahal,Sundar Mahal,0.004797572
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Surkhali,Surkhali,0.005302584
West,Khulna,Batiaghata,  Surkhali Union Total,404712,*Takimara,Takimara,0.005494151
West,Khulna,Dacope,  Bajua Union Total,404717,*Bajua,Paschim Bajua,0.007114282
West,Khulna,Dacope,,404717,*Bajua,Purba Bajua,0.006941946
West,Khulna,Dacope,,404717,*Bajua,Bererkhali,0.008034154
West,Khulna,Dacope,,404717,*Bajua,Chand Para,0.008356009
West,Khulna,Dacope,,404717,*Chunkuri-2,Chunkuri-2,0.006757379
West,Khulna,Dacope,  Banishanta Union Total,404717,*Banishanta,Paschim Banishanta,0.0077578
West,Khulna,Dacope,,404717,*Banishanta,Uttar Banishanta,0.007463099
West,Khulna,Dacope,,404717,*Banishanta,Andhar Manik,0.008323307
West,Khulna,Dacope,,404717,*Banishanta,Jharkhali,0.008533753
West,Khulna,Dacope,,404717,*Banishanta,Kakra Bunia,0.00772256
West,Khulna,Dacope,,404717,*Banishanta,Purba Amtala,0.007136504
West,Khulna,Dacope,,404717,*Banishanta,Paschim Amtala,0.007303847
